index,x,y,z
19580,-10.9358,2.68003,-1.38249,
19593,-10.9303,2.71914,-1.38297,
19605,-10.9207,2.75728,-1.38297,
19617,-10.9072,2.7944,-1.38249,
19628,-10.8935,2.83146,-1.382,
19639,-10.8951,2.8725,-1.38346,
19650,-10.8927,2.91257,-1.38444,
19662,-10.8944,2.95179,-1.3859,
19674,-10.8726,2.98664,-1.38444,
19687,-10.8596,3.02594,-1.38419,
19700,-10.8586,3.06652,-1.38541,
19712,-10.8554,3.10659,-1.38639,
19725,-10.8445,3.14447,-1.38639,
19738,-10.8226,3.17706,-1.38492,
19750,-10.8267,3.21934,-1.38687,
19762,-10.8287,3.26112,-1.38858,
19776,-10.8134,3.29774,-1.38809,
19790,-10.7981,3.3343,-1.3876,
19804,-10.7882,3.37256,-1.38785,
19818,-10.784,3.4126,-1.38882,
19832,-10.7966,3.45809,-1.39199,
19846,-10.8147,3.50555,-1.39589,
19860,-10.7797,3.53585,-1.39297,
19874,-10.7434,3.56346,-1.3898,
19887,-10.7328,3.60157,-1.39004,
19901,-10.7283,3.63969,-1.39102,
19915,-10.725,3.68034,-1.39224,
19928,-10.687,3.71116,-1.38907,
19942,-10.6908,3.75436,-1.39126,
19955,-10.6665,3.78767,-1.3898,
19969,-10.6606,3.82756,-1.39077,
19983,-10.6721,3.87169,-1.39394,
19997,-10.6511,3.90619,-1.39297,
19264,-8.93097,1.40814,-1.432,
19280,-8.9104,1.43679,-1.4295,
19339,-8.90114,1.56311,-1.43138,
19354,-8.89563,1.59417,-1.43138,
19367,-8.90362,1.6277,-1.43357,
19378,-8.91342,1.66166,-1.43607,
19390,-8.88815,1.68908,-1.43294,
19402,-8.88414,1.72047,-1.43325,
19413,-8.88196,1.75223,-1.43388,
19424,-8.87385,1.78284,-1.43357,
19434,-8.87919,1.81618,-1.43544,
19447,-8.8786,1.84837,-1.43638,
19461,-8.85437,1.87721,-1.43357,
19474,-8.85742,1.91019,-1.43513,
21637,-12.5033,11.3692,-0.294981,
21650,-12.4105,11.3641,-0.293724,
21665,-12.3398,11.3789,-0.292991,
21679,-12.3323,11.4518,-0.293759,
21694,-12.2387,11.4408,-0.292433,
21709,-12.2861,11.5657,-0.294527,
21723,-12.3255,11.6842,-0.296447,
21739,-12.2282,11.6733,-0.295085,
21783,-12.0723,11.7686,-0.294282,
21797,-12.0269,11.8064,-0.294178,
21809,-11.9956,11.8582,-0.294422,
21769,-11.9668,11.5845,-0.290722,
23931,-1.05818,15.1707,4.07485,
9588,8.73679,-11.349,-1.75857,
9603,8.68627,-11.3653,-1.75638,
9619,8.69694,-11.462,-1.76662,
9634,8.66166,-11.4986,-1.76759,
9649,8.71657,-11.6559,-1.78709,
9664,8.71015,-11.7325,-1.79416,
9693,8.67202,-11.8445,-1.80245,
9707,8.63178,-11.8763,-1.80269,
9723,8.60305,-11.924,-1.80537,
9736,8.5556,-11.9459,-1.80415,
9749,8.5265,-11.9935,-1.80683,
11380,2.99923,-14.014,2.26986,
11162,4.072,-14.9668,4.15612,
11301,2.05877,-8.76386,2.41219,
9666,8.96571,-12.0811,-1.31623,
9680,8.96554,-12.1606,-1.3218,
9682,8.94529,-12.142,-0.790378,
9695,8.89951,-12.1596,-1.31832,
9697,8.89814,-12.1667,-0.789959,
9711,8.88964,-12.2445,-0.792994,
9709,8.65089,-11.9069,-1.28764,
9725,8.59063,-11.9112,-1.28485,
9738,8.56524,-11.9638,-1.28729,
10678,2.50908,-6.14218,-0.34772,
8447,12.0245,-9.08085,-2.38656,
9668,9.02622,-12.1716,-0.794146,
9590,9.09864,-11.8234,-1.30524,
9605,9.06094,-11.8598,-1.30577,
7474,11.0148,-5.06859,-2.35687,
3663,8.26388,4.91259,-1.18043,
3672,8.22344,4.85365,-1.51241,
3673,8.28953,4.88875,-1.18165,
3683,8.33224,4.87482,-1.1853,
3694,8.38011,4.86364,-1.18969,
3704,8.38759,4.83087,-1.18847,
3722,8.40902,4.76535,-1.18676,
3733,8.39792,4.7204,-1.18286,
3743,8.48543,4.73069,-1.19286,
3754,8.64956,4.78269,-1.21357,
3766,8.71493,4.7792,-1.2204,
3776,8.73505,4.75065,-1.22089,
3814,8.47713,4.46382,-1.51741,
3642,8.32389,5.06698,-1.19651,
3644,8.46091,5.14836,-0.866502,
3656,8.25263,4.94692,-1.1814,
3657,8.44106,5.05788,-0.860924,
3664,8.43899,5.01469,-0.858833,
3674,8.44615,4.97913,-0.857787,
3684,8.48755,4.9637,-0.860227,
3695,8.55136,4.96104,-0.864934,
4070,9.41373,3.92627,-2.35479,
4080,9.43459,3.89636,-2.35659,
4090,9.44813,3.86341,-2.35659,
4100,9.46156,3.8304,-2.35659,
4110,9.47668,3.79808,-2.35704,
4121,9.48857,3.76829,-2.35704,
4130,9.52705,3.74512,-2.36334,
4141,9.52191,3.70478,-2.35884,
4151,9.5366,3.67222,-2.35929,
4160,9.56211,3.64377,-2.36244,
4170,9.57294,3.60968,-2.36199,
4180,9.58851,3.57928,-2.36289,
4188,9.59364,3.54308,-2.36109,
4196,9.61388,3.51057,-2.36289,
4206,9.62607,3.47699,-2.36289,
4215,9.63939,3.44571,-2.36334,
4224,9.65871,3.41464,-2.36514,
4233,9.67057,3.3809,-2.36514,
4243,9.67678,3.34521,-2.36379,
4252,9.6884,3.31141,-2.36379,
4261,9.70544,3.27945,-2.36514,
4270,9.73531,3.25172,-2.36963,
4279,9.7429,3.2165,-2.36873,
4288,9.74425,3.18115,-2.36649,
4297,9.76086,3.14891,-2.36783,
4307,9.76994,3.11423,-2.36738,
4315,9.79562,3.08479,-2.37098,
4324,9.80633,3.05058,-2.37098,
4333,9.8076,3.01346,-2.36873,
4341,9.82738,2.98204,-2.37098,
4349,9.8452,2.94996,-2.37278,
4342,12.9522,3.92778,-2.63087,
4350,12.9621,3.88142,-2.63011,
4358,12.99,3.84287,-2.63316,
4190,16.006,5.90174,-2.70194,
4200,16.0349,5.84574,-2.70319,
4209,16.0757,5.7971,-2.70663,
4218,16.1004,5.74576,-2.70757,
4227,16.1147,5.68755,-2.70663,
4236,16.1215,5.62671,-2.70444,
4246,16.1167,5.56202,-2.70037,
4254,16.1473,5.50956,-2.70225,
4263,16.1701,5.45442,-2.70287,
4272,16.1928,5.39919,-2.7035,
4281,16.2097,5.34202,-2.70319,
4290,16.2292,5.28885,-2.7035,
4299,16.2438,5.23095,-2.70287,
4309,16.2714,5.17721,-2.70444,
4318,16.2988,5.12335,-2.706,
4327,16.3128,5.06525,-2.70538,
4335,16.3341,5.00944,-2.706,
4343,16.3553,4.95353,-2.70663,
4048,15.4326,6.60806,-1.46875,
23209,-6.97443,26.9293,-1.45787,
23169,-9.55122,34.7466,4.42459,
997,7.01285,25.8472,-2.3431,
1006,7.12945,25.9186,-2.35181,
806,7.96289,40.8134,-2.17927,
1014,9.98453,35.7365,-1.94459,
1443,16.0182,37.1046,-2.11804,
1033,11.476,39.9688,-0.725846,
1456,16.3299,37.5203,6.48108,
885,10.4721,45.9445,-0.822532,
1219,15.8602,43.8371,2.44315,
1120,14.045,43.9292,4.03496,
1239,15.9562,43.089,4.01997,
1028,13.3964,46.9041,4.26767,
1211,16.1013,44.9445,4.17685,
1118,15.6077,48.876,2.68892,
1167,16.3141,48.198,2.66673,
22395,-37.0436,50.4657,3.28084,
22705,-39.9209,72.9171,4.35665,
22808,-28.1396,57.8998,3.37379,
22816,-27.9807,58.0876,3.37902,
22920,-25.0848,59.5288,-1.12757,
22865,-26.9862,59.6013,1.14202,
22915,-26.9678,63.6867,3.62458,
820,9.8522,48.9496,4.36842,
897,12.856,55.1148,2.96598,
1024,14.925,52.6387,-0.955031,
959,13.0064,50.1477,2.71508,
978,14.6684,55.4003,-1.00034,
1056,15.7617,53.1084,2.90328,
861,16.4787,75.3883,1.34698,
22186,-32.0997,38.0253,13.3338,
21509,-24.1164,20.5974,8.49806,
22054,-25.1303,27.9591,8.67906,
1600,17.0036,35.9064,9.17215,
1493,16.0364,36.0693,10.5769,
1232,14.927,40.7239,6.86966,
1489,16.7256,37.6725,8.01207,
1372,15.6201,37.916,10.9879,
996,13.1056,48.3366,7.93217,
1141,15.7063,47.8837,7.9816,
1114,15.4002,48.6064,9.911,
22649,-35.5529,60.6227,18.8312,
22657,-35.3923,60.7613,18.8415,
22980,-24.7323,64.6998,8.50477,
1041,14.4157,49.684,8.19372,
973,14.4733,54.8957,6.97068,
10736,32.1399,-82.8616,-1.55134,
9551,74.0112,-94.2544,-2.09181,
10757,21.4599,-56.4343,-1.05388,
10768,21.3389,-56.711,-1.05765,
10237,26.1177,-47.7841,4.76428,
10045,29.2713,-47.8601,4.90826,
10293,33.984,-64.511,-1.27273,
10281,34.4137,-65.0236,1.28415,
10285,24.3568,-46.0797,4.55999,
10072,23.0163,-38.2148,2.33795,
9905,21.0193,-31.8533,4.68588,
9790,30.624,-43.9639,2.80793,
9317,32.427,-36.8589,-2.57284,
9916,25.0623,-38.1972,2.39427,
9616,26.3494,-34.6889,3.81115,
9034,31.3834,-31.3725,2.3256,
9445,22.3677,-27.086,-1.84097,
9629,21.8985,-29.0286,1.90566,
9517,24.2405,-30.3873,6.15663,
9036,24.7673,-24.7673,3.0644,
9059,20.3819,-20.5821,-1.51806,
8419,24.3148,-18.1237,-2.6532,
9429,18.38,-22.0996,5.58727,
9236,20.0446,-21.9824,4.71181,
8811,20.0052,-17.9371,5.22282,
8084,24.2549,-15.4164,0.501652,
8099,24.1538,-15.4708,0.500675,
8350,24.6602,-17.8248,2.66209,
8334,23.7866,-17.0672,2.56133,
8838,25.4881,-23.1599,5.45456,
8943,31.9994,-30.5793,-0.772583,
8758,32.0672,-28.0826,2.23391,
8570,31.1491,-24.9016,2.08998,
8462,27.6996,-21.0709,3.04487,
8070,30.6511,-19.3394,1.89938,
7989,30.0094,-18.203,0.612649,
8005,30.0737,-18.3859,0.615267,
9095,33.0329,-33.9448,0.826755,
8956,44.8784,-43.1573,-3.26304,
8926,44.4888,-42.1888,-3.21322,
8914,48.8334,-46.0183,-1.17123,
8391,43.6184,-32.0878,-0.945187,
8613,45.8601,-37.4159,1.03311,
7639,40.0131,-20.1682,-2.34831,
7521,38.5731,-18.2334,2.236,
7786,44.0411,-24.0818,2.63061,
7123,44.0403,-16.195,-2.45916,
6832,50.9336,-15.0969,0.927281,
10218,25.8677,-46.6474,10.3682,
9638,21.9021,-29.1179,8.41182,
9591,22.1252,-28.7613,7.05345,
9534,23.9382,-30.2351,7.49612,
8668,23.98,-20.0646,8.37797,
8045,19.3941,-12.0765,-1.99883,
8122,19.4129,-12.5636,-2.02306,
8380,19.3056,-14.1554,1.2546,
8320,18.3948,-13.1063,2.77326,
8136,18.0887,-11.7919,3.41997,
7862,19.5193,-11.075,6.0134,
7640,19.7267,-9.94741,5.10054,
7572,22.944,-11.1559,3.13253,
8119,23.2484,-15.0343,3.39942,
7907,23.8873,-13.8804,6.37826,
7465,22.324,-10.2066,4.77137,
7028,21.1829,-7.28557,4.35426,
5816,21.2282,-1.06423,-1.85955,
6160,17.4939,-2.29379,4.72759,
6431,24.6512,-4.87212,2.19842,
6268,21.8721,-3.47202,3.50757,
6552,22.0926,-5.01931,3.58829,
6718,24.8282,-6.6434,4.07074,
5818,21.1739,-1.06892,-1.11109,
5858,21.2537,-1.28876,-1.11591,
5420,22.2456,0.920697,0.38863,
6195,21.5031,-3.02589,2.66626,
7184,28.9317,-11.0769,-2.71037,
7325,28.2502,-11.8579,-1.60567,
7697,27.3737,-14.262,3.78989,
7475,28.9859,-13.3443,2.79177,
